###########################################################################
#Copyright 1999 The Internet Dictionary Project/Tyler Chambers
#http://www.june29.com/IDP/
#This file is free to use and modify.  Thank you for using the IDP.
#
#Approximately 5048 entries.  9/21/97
#Approximately 5488 entries.  1/7/98
#Approximately 5910 entries.  3/8/98
#Approximately 7450 entries.  2/19/99
###########################################################################
a	un, uno, una[Article]
ulna	Elle[Noun]
ultimate	ultimativ[Verb]
ultimately	ulimativ, letzendlich[Adjective]
ultimateness	Ultimativheit
ultimatum	Ultimatum[Noun]
ultimo	Ultimo, am Ende[Noun]
ultra	ultra[Adverb]
ultrabold	extrem fett (Schrift)[Adjective]
ultraconservative	Ultrakonservativ[Adjective]
ultrafashionable	Ultramodern[Adjective]
ultrafast	extrem schnell[Adjective]
ultrahigh	Ultrahoch[Adjective]
ultraism	Ultraismus[Noun]
ultraist	Ultraist[Noun]
ultraistic	Ultraistisch
ultramarine	ultramarin(blau)[Adjective]
ultramodern	ultramodern[Adjective]
ultrasonic	Ultraschall[Noun]
ultrasound	Ultraschallaufnahme[Noun]
ultraviolet	ultraviolett (Strahlung, Licht)[Adjective]
umber	umbrabraun[Adjective]
umbilical	Nabelschnur, Kabelschlauch[Noun]
umbilicus	Nabel[Noun]
umbra	Erdschatten[Noun]
umbrage	Anstoß (m)
umbrage	Ärger (m)
umbrella	Regenschirm (m)
umbrella	Schirm (m)
umbrellas	Regenschirme[Noun]
umlaut	Umlaut[Noun]
umpire	Schiedsrichter, Unparteiischer[Noun]
umpteen	mehrere, viele, zig-mal, x-mal[Adverb]
umpteenth	zum x-ten mal[Adjective]
unabashed	unverfroren[Adjective]
unabated	unvermindert[Adjective]
unabbreviated	nicht abgeku.rzt, vollsta.ndig ausgeschreiben[Adjective]
unable	außerstande
unable	unfähig
unabridged	ungeku.rzt[Adjective]
unacceptability	Unannehmbarkeit[Noun]
unacceptable	unannehmbar
unacceptably	untragbar, unannehmbar, unakzeptabel[Adverb]
unaccessible	unerreichbar[Adjective]
unaccommodated	unangepasst[Adjective]
unaccompanied	unbegleitet, alleine[Adjective]
unaccountable	sonderbar
unaccountable	unerklaerlich
unaccountable	unverantwortlich
unaccountably	unerkla.rlicherweise[Adverb]
unaccounted	unerkla.rlich[Adjective]
unaccounted for	unerklärt für
unaccustomed	ungewohnt[Adjective]
unachievable	unerreichbar[Adjective]
unachieved	unerreicht[Verb]
unacknowledged	nicht anerkannt[Adjective]
unacknowledgment	Nichtanerkennung[Noun]
unacknowledgments	Nichtanerkennungen[Noun]
unadaptable	nicht anpassungsfa.hig, unflexibel[Adjective]
unadapted	unangepaßt[Adjective]
unadjusted	unjustiert[Adjective]
unadorned	schlicht, natu.rlich, ungeschminkt[Adjective]
unadulterated	unverfa.lscht rein, unverdu.nnt[Adjective]
unaffected	unbetroffen[Verb]
unafraid	unerschrocken[Verb]
unaided	ohne Hilfe/Unterstu.tzung[Adverb]
unaligned	nicht ausgerichtet, krum[Adverb]
unaltered	unvera.ndert[Verb]
unambiguity	Eindeutigkeit[Noun]
unambiguous	eindeutig[Adjective]
unamused	gezwungen, unfroh[Adjective]
unanimous	Ablehnung[Noun]
unanimously	ablehnend[Adjective]
unannounced	unangeku.ndigt[Verb]
unanswerable	unbeantwortbar[Adjective]
unanswered	unbeantworted[Verb]
unanticipated	unerwarted[Verb]
unappealing	abstossend, nicht ansprechend[Adjective]
unapproachable	unzuga.nglich, unnahbar[Adjective]
unapt	ungeeignet, untauglich[Adjective]
unarguable	nicht diskutierbar[Adjective]
unarmed	unbewaffnet
unarmored	ungeschu.tzt, ungepanzert
unarticulated	unartikuliert[Adjective]
unary	una.r[Adjective]
unashamed	unbescha.mt[Adjective]
unasked	ungefragt[Adjective]
unassembled	nicht zusammengebaut, in Einzelteilen[Adjective]
unassertive	unbestimmt, vage[Adjective]
unassigned	nicht zugewiesen[Verb]
unassisted	nicht unterstuetzt, alleine[Adjective]
unattended	nicht anwesend, begleitend[Verb]
unattractive	unattraktiv[Adjective]
unauthentic	nicht Authentisch, echt[Adjective]
unauthorized	unbefugt
unauthorized	unberechtigt
unauthorized	unerlaubte
unavailability	Unverfu.gbarkeit[Noun]
unavailable	nicht vorhanden, vorra.tig[Adjective]
unavailing	vergeblich, umsonst[Adjective]
unavailingly	vergeblich[Adverb]
unavoidable	unvermeidlich[Adjective]
unavoidably	unvermeidlich[Adverb]
unaware	nicht bewusst[Adjective]
unbacked	nicht unterstu.tzt[Verb]
unbalance	aus dem Gleichgewicht bringen, das Gleichgewicht sto.ren[Verb]
unbalanced	unausgeglichen[Verb]
unbar	aufsperren[Verb]
unbarred	unverschlossen[Adjective]
unbearable	unertra.glich[Adjective]
unbearably	u.berwa.ltigend[Adverb]
unbeatable	unschlagbar, unbesiegbar[Adjective]
unbeaten	ungeschlagen[Adjective]
unbecoming	unschicklich, unziemlich[Adjective]
unbecomingly	unschicklich, unziemlich[Adverb]
unbecomingness	Unschicklichkeit[Noun]
unbelief	Ungla.ubigkeit[Noun]
unbelievable	unglaublich[Adjective]
unbeliever	Ungla.ubiger[Noun]
unbelieving	ungla.ubig[Adjective]
unbelted	nicht zusammengehalten, ohne Gu.rtel[Adjective]
unbend	entspannen[Verb]
unbending	Entspannend[Adjective]
unbent	sntspannt[Adjective]
unbiased	unzweideutig, eindeutig[Adjective]
unbiblical	nicht-biblisch[Adjective]
unbid	losbinden
unbidden	ungebeten, unaufgefordert[Adjective]
unbind	losbinden, befreien, lo.sen[Verb]
unblinded	nicht geblendet[Adjective]
unblinking	nicht zwinkern, "Ohne mit der Winper zu zucken"[Adjective]
unblock	freimachen[Verb]
unblocked	unblockiert, frei[Adjective]
unblushing	ohne Rot zu werden[Adjective]
unbolt	o.ffnen[Verb]
unbolted	o.ffnete[Verb]
unborn	ungebohren[Adjective]
unbound	ungebunden[Verb]
unbounded	ungebunden[Verb]
unbox	auspacken[Verb]
unbrace	nicht gefesselt[Adjective]
unbranched	unverzweigt[Adjective]
unbreakable	unzerbrechlich[Adjective]
unbreathable	nicht atembar[Adjective]
unbroke	nicht pleite[Adjective]
unbroken	nicht kaputt, ganz, heil[Adjective]
unbuild	ungebaut[Verb]
unbuilt	ungebaut[Verb]
unburied	nicht begraben[Verb]
unburned	unverbrannt[Adjective]
uncertain	unsicher[Adjective]
uncertified	nicht zertifiziert[Adjective]
uncle	Onkel (m)
under	unten
under	unter
under	unter-
underclothes	Unterkleidung (f)
under-cooked	untergekocht
underground	U-Bahn (f)
underpants	Unterhose (f)
undershirt	Unterhemd (n)
undershorts	Unterhose (f)
united	einig
united	vereinigt
united	vereinigte
United Kingdom	Vereinte Königreich (n)
United States of America	Vereinte Staats Amerika
university	Hochschule (f)
university	Universität (f)
unprepared	unvorbereitet
until	bis
until	bis zu
untrans	n
untrans	y
up	auf
up	einpacken
up	hinauf
up	nach oben
update	auf den neuesten Stand bringen[Verb]
updated	auf den neuesten Stand gebracht, erweitert[Adjective]
upgrade	befo.rdern, anheben, verbessern[Verb]
upgraded	verbessert, angehoben[Adjective]
upheaval	Aufwo.lbung, Erhebung, Aufruhr[Noun]
uphill	bergauf[Adverb]
uphold	wahren, hu.ten[Verb]
upholding	wahrend, hu.tend[Adjective]
upholster	polstern, beziehen[Verb]
upholstered	gepolstert[Adjective]
upholsterer	Polsterer[Noun]
upholsterers	Polsterer[Noun]
upholstering	Polstern[Noun]
upholstery	Polsterung, Polsterei[Noun]
upkeep	Unterhalt, Unterhaltskosten[Noun]
upload	aufladen
upper	höher
upper	ober
upper	oberer
upper arm	Oberarm (m)
upper case	obere Stabe (f)
upper crust	Oberschicht (f)
uppercase	Grossbuchstabe[Noun]
uppercases	Grossbuchstaben[Noun]
uprising	Aufstand (m)
uproar	Aufruhr, Tumult[Noun]
uproarious	tumultartig, la.rmend[Adjective]
uproariously	la.rmend, bru.llend[Adjective]
uproot	entwurzeln[Verb]
uprooted	entwurzelt[Adjective]
upset	durcheinanderbringen
upset	Rückschlag (m)
upset	stören
upset	unkrempeln
upturn	umdrehen
upward	aufwärts
upward	empor
urn	Urne (f)
us	uns
use	anwenden
use	Anwendung (f)
use	belegen
use	benutzen
use	Benutzung (f)
use	brauchen
used	belegt
used	benutze
used	benutzt
used	gebraucht
used	genutzt
used	gewöhnt
used	verbraucht
useful	brauchbar
useful	nützlich
useful	tauglich
user's manual	Benutzerhandbuch (n)
using	benutze
using	gebrauchend
usurp	sich aneignen
usurp	sich bemächtigen
usurp	usurpieren
utility	Dienstprogramm (n)
utility	Nützlichkeit (f)
utility	Nutzbarkeit (f)
utility	nutzen
utilize	anwenden
utilize	ausnutzen
utilize	auswerten
utilize	gebrauchen
v	vertrokken
vacancies	Zimmer frei
vacant	frei
vacant	ledig
vacant	leer
vacant	unbesetzt
vaccinate	impfen[Verb]
vaccinated	geimpft[Adjective]
vaccination	Impfung[Noun]
vaccinations	Impfungen[Noun]
vacillate	schwanken
vacillate	schwankern
vacuum	Hohlraum (n)
vacuum	Vakuum (n)
vagina	Scheide (f)
vagrant	Landstreicher (m)
valley	Tal (n)
vanilla	vanille
variable	variabel
variable	veränderlich
variant	abweichend
variant	Variante (f)
vary	abwandeln
vary	ändern
vary	sich verändern
vary	variieren
vary	verändern
VCR	VCR
veal	Kalb (n)
veal	Kalbfleisch (n)
vector	Vektor[Noun]
vectors	Vektoren[Noun]
vegetable	Gemüse (n)
vegetable	Pflanze (f)
vegetables	Gemu.se[Noun]
vegetarian	Vegetarier (m)
vegetarian	Vegetarierin (f)
vegetarians	Vegetarier[Noun]
vegetate	vegetieren[Verb]
vegetated	vegetiert[Verb]
vegetates	vegetiert[Verb]
vegetating	vegetierend[Verb]
vegetation	Vegetation[Noun]
vehemence	Vehemenz[Noun]
vehement	vehement[Adjective]
vehemently	vehement[Adverb]
vehicle	Fahrzeug[Noun]
vehicles	Fahrzeuge[Noun]
veil	Schleier[Noun]
veiled	verschleiert[Adjective]
veils	Schleier[Noun]
velocities	Geschwindigkeiten[Noun]
velocity	Geschwindigkeit[Noun]
velvet	Samt (m)
veneer	Furnier (n)
venerable	ehrwu.rdig[Adjective]
venerate	verehren[Verb]
venerated	verehrt[Verb]
venerates	verehrt[Verb]
veneration	Verehrung[Noun]
venison	Rehfleisch (n)
venison	Wildbret (n)
venom	Gift[Noun]
venomous	giftig[Adjective]
venomously	giftig[Adverb]
ventilate	belu.ften[Verb]
ventilated	belu.ftet[Verb]
ventilates	belu.ftet[Verb]
ventilation	Belu.ftung[Noun]
ventilator	Ventilator[Noun]
ventriloquist	Bauchredner[Noun]
verb	Verb (n)
verb	Zeitwort (n)
vermouth	Wermut (m)
version	Ausgabe (f)
version	Fassung (f)
version	Version (f)
vertical	senkrecht
very	sehr
very old	ur-
very old	uralt
vessel	Gefäß (n)
vest	Unterhemd (n)
vest	Weste (f)
vestibule	Verbindungsgang (m)
vestibule	Vorraum (m)
viaduct	Viadukt[Noun]
vibraphone	Vibraphone[Noun]
vibrate	vibrieren[Verb]
vibrated	vibriert[Verb]
vibrates	vibriert[Verb]
vibration	Vibration[Noun]
vibrations	Vibrationen[Noun]
vibrator	Vibrator[Pronoun]
vicar	Vikar[Noun]
video	Video (n)
video camera	Videokamera (f)
videocassette	Videokassette (f)
videocassette player	Videokasettespieler (m)
videotape	Videoband (m)
view	Anblick (m)
view	Ansicht (f)
view	Ausblick (m)
viewed	betrachten
viewed	sah an
viewing	Besichtigung (f)
viewing	betrachten
viewing	Vorführung (f)
villa	Landhaus (n)
villa	Mansion (f)
villa	Villa (f)
village	Dorf (n)
village	Ortschaft (f)
villain	Bösewicht (m)
villain	Schurke (m)
vine	Rebe (f)
vine	Rebstock (m)
vine	Wein (m)
vinegar	Essig (m)
vineyard	Weinberg (m)
vineyard	Weingarten (m)
virgo	Jungfrau (f)
virus	Virus (m)
visa	Visum (n)
viscous	klebrig
viscous	schwerflüssig
viscous	zähflüssig
vitamins	Vitamine (pl)
v-neck	V-Hals (n)
vocal	stimmlich
vocalize	aussprechen
vodka	Wodka (m)
voice	Stimme (f)
volcanic	vulkanisch
volcano	Vulkan (m)
volt	Volt (n)
voltage	Spannung (f)
voltage	Stromspannung (f)
voodoo	Hexerei (f)
voodoo	Wodu (n)
vote	abstimmen
vote	Abstimmung (f)
vote	Stimmabgabe (f)
vote	Stimme (f)
vote	stimmen
voters	Wähler (pl)
vow	Gelübde (n)
vow	geloben
vow	Schwur (m)
vowel	Selbstlaut (m)
vowel	Vokal (m)
vulture	Aasgeier (m)
vulture	Geier (m)
wacky	verrückt
wad	(Watte)bausch, wattieren, Banknotenbu.ndel
wadding	Wattierung, Watte[Noun]
waddle	watscheln, wackeln[Verb]
wade	waten[Verb]
wader	Watvogel, Wasserstiefel[Noun]
wadi	Wadi[Noun]
wafer	Waffel, Hostie[Noun]
waffle	Waffel, quasseln
waffles	Waffel (pl)
waft	wehen, tragen, Hauch
wag	wackeln, wedeln, schu.tteln
wage	Lohn, unternehmen
wager	Wette[Noun]
wagers	Wetten[Noun]
wages	Lohn[Noun]
waggery	Schelmerei, Spass
waggle	wackeln, wedeln
waggly	wacklig, sich windend
wagon	Waggon[Noun]
wagoner	Fuhrmann
wagonload	Wagenladung[Noun]
wagonloads	Wagenladungen[Noun]
wagons	Waggons[Noun]
waif	herrenloses Gut, Strandgut
wail	(Weh)klagen, bejammern
wain	Wagen
wainscot	Holzverkleidung, ta.feln
waist	Taille (f)
waistband	Gurtband, Taillenband
waistcoat	Weste (f)
waistcoats	Weste[Noun]
waistline	Taille[Noun]
wait	abwarten
wait	warten
wait	wartezeit
wait here	bleiben Sie hier
wait until the cows come home	bleiben Sie bis die Kühe nach Hause kommen
waited	gewartet[Verb]
waiter	Kellner (m)
waiter	Ober (m)
waiters	Kellner[Noun]
waiting	Bedienung (f)
waiting	wartend
waiting room	Warteraum (m)
waitress	Bedienung (f)
waitress	Kellnerin (f)
waitresses	Kellnerin[Noun]
waits	wartet[Verb]
wake	wecken[Verb]
wake	aufwachen
walk	Gang (m)
walk	gehen
walk	laufen
walk	spazieren
walk	spazierengehen
walk	Spaziergang (m)
walked	ging
walking	gehend
walkingstick	Gehstock[Noun]
wall	die Bauer (oustide wall)
wall	Mauer (f)
wall	Wand (f)
walled	vermauerte
wallet	Brieftasche (f)
wallets	Brieftaschen[Noun]
wallflower	Mauerblu.mchen[Noun]
wallpaper	Tapete (f)
wallpapers	Tapeten[Noun]
walnut	Walnuß (f)
walnuts	Baumnu.sse[Noun]
walrus	Walross[Noun]
waltz	Walzer[Noun]
wand	Stab[Noun]
wand	Zauberstab
wander	herumziehen
wander	umherwandern
wander	wandeln
wander	wandern
wanderer	Wanderer[Noun]
wanderlust	Wanderlust[Noun]
want	Bedarf (m)
want	benötige
want	benötigen
want	brauchen
wanted	gesucht
wanting	fehlend
war	Krieg (m)
warfare	Krieg[Noun]
warlord	Kriegsherr[Noun]
warlordism	Kriegsherren[Noun]
warm	warm[Noun]
warmer	wa.rmer[Adjective]
warmest	wa.rmste[Adjective]
warmhearted	warmherzig[Noun]
warmheartedness	Warmherzigkeit[Noun]
warmly	warm[Adverb]
warmness	Wa.rme[Noun]
warmth	Wa.rme[Noun]
warmup	Aufwa.rmen[Noun]
warn	warnen[Verb]
warned	gewarnt[Adjective]
warner	Warner[Noun]
warning	Warnung[Noun]
warningly	warnend[Adjective]
warnings	Warnungen[Noun]
warns	warnt[Verb]
warrior	Krieger[Noun]
wars	Kriege[Noun]
warship	Kriegschiffen[Noun]
wart	Warze[Noun]
wash	spülen
wash	waschen
wash	waschen[Verb]
washed	gewaschen
washed	wusch
washing	waschend
wasp	Wespe[Noun]
waste	Öde (f)
waste	vergeuden
waste	verschwenden
waste	Abfall[Noun]
wastebasket	Abfalleimer[Noun]
wasted	verschwendet[Adjective]
watch	Beachtenuhr (f)
watch	bewachen
watch	Uhr (f)
watch out	wacht aus
water	begießen
water	tränken
water	Wasser (n)
water	wässern
water bed	Wasserbett (n)
water skis	Wasserskier (pl)
water tap	Wasserhahn (m)
watercolor	Wasserfarbe[Noun]
watercress	Brunnenkresse[Noun]
waterfall	Wasserfall[Noun]
waterfalls	Wasserfa.lle[Noun]
waterfowl	Wasservogel[Noun]
waterfront	Ufer[Noun]
waterhole	Wasserloch[Noun]
waterholes	Wasserlo.cher[Noun]
waterless	wasserlos[Adjective]
watermark	Wasserzeichen[Noun]
watermelon	Wassermelone (f)
waterpower	Wasserkraft[Noun]
waterproof	wasserdicht[Adjective]
waterproofed	wassergedichtet
waterside	Ufer[Noun]
watertight	wasserdicht[Adjective]
wave	Welle (f)
wave	wellen
wave	winken
wave	Winken (n)
wave	wogen
waved	winkte zu
way	Weg[Noun]
way out	Ausgang (m)
we	wir
weak	schwach
weaken	schwa.chen[Verb]
weaker	schwa.cher[Adjective]
weakest	schwa.chste[Adjective]
weakish	schwa.chlich[Adjective]
weakly	schwach[Adverb]
weakness	Schwa.che[Noun]
weaknesses	Schwa.chen[Noun]
wealth	Reichtum[Noun]
wealthier	reicher[Adjective]
wealthiest	reichste[Adjective]
wealthy	reich[Adjective]
wean	entwo.hnen[Verb]
weaned	entwo.hnt[Adjective]
weapon	Waffe[Noun]
weapons	Waffen[Noun]
wear	tragen[Verb]
weasel	Wiesel
weaseling	s.herauswinden
weather	Wetter
weather	Wetter (n)
weather	Witterung (f)
weatherproof	wetterfest
weatherproofness	Wetterfestigkeit
weatherworn	verwittert
weave	weben[Verb]
weaving	weben
web	Netz
web	Web
weblike	netzartig
wedding	Hochzeit
wedding	Hochzeit (f)
wedding	vermählend
wedding	Heirat[Noun]
wedding ring	Trauring (m)
wedge	Keil
wedlock	Ehe
Wednesday	Mittwoch (m)
week	Woche
week	Woche (f)
weekday	Wochentag
weekdays	Wochentage
weekend	Wochenende
weekends	Wochenenden
weeklies	Wochenzeitungen
weekly	wöchentlich
weekly	wöchentlich, Wochenzeitung
weekly	Wochenzeitung (f)
weigh	wiegen
weight	Gewicht
weight	Gewicht (n)
weight	Last (f)
weight	Stellenwert (m)
weight	Wucht (f)
weightier	gewichtiger
weightily	gewichtig
weightiness	Gewichtigkeit
weightless	gewichtslos
weightlessness	Gewichtslosigkeit
weightlessness	Gewichtslosigkeit, Leichtigkeit
weights	Gewichte
weighty	gewichtig
weird	seltsam
weirder	seltsamer, merkwürdiger
weirdie	seltsamer Typ, komischer Kauz
weirdo	seltsamer Typ, komischer Kauz
welcome	begrüßen
welcome	Willkommen (n)
welcome	willkommen, Willkommen
welcoming	einladend
welded	geschweißt
welder	Schweißer
welding	Schweißen
welfare	Wohlfahrt, Sozialhilfem Sozial-
we'll	wir werden
well	gut, Brunnen
well over	wohl über
wellbeing	Wohlergehen
well-known	bekannt
wellness	Wohlbefinden
wellwisher	Gratulanten
welsh	walisisch
weltschmerz	Weltschmerz[Noun]
went	ging
we're	wir sind
werewolf	Werwolf[Noun]
werewolves	Werwo.lfe
west	am Westen
west	West[Noun]
Western Hemisphere	Westhemisphäre (f)
we've	wir haben
wed	heiraten[Verb]
wet	nass
whale	Wal[Noun]
what	was
what	welche
what	welcher
what	welches
what	wie
wheat	Weizen (m)
wheel	Rad[Noun]
wheelchair	Rollstuhl (m)
when	als
when	als wo da nachdem
when	sobald
when	wann
when	wenn
whenever	wann
whenever	wann auch immer
where	Wo
where	wo
where	wo inwiefern wohin
where	wohin
whether	entweder oder
whether	ob
whether	ob oder
which	welche
which	welcher
which	welches
while	Weile[Noun]
while	wa.hrend
whip	Peitsche
whistle	pfeifen[Verb]
whistle	Pfeife[Noun]
white	weiß
whittle	schnitzen
who	welcher
who	wer
whole	ganz
whole	Ganze (n)
wholesale	großhandel
wholesale	im Bausch und Bogen
wholesome	gesund
whom	welchen
whom	wem
whom	wen
whore	Hure[Noun]
why	warum
why	wieso
wide	weit
widespread	weitverbreitet[Adjective]
widow	Witwe[Noun]
widower	Witwer[Noun]
widowers	Witwer
widows	Witwen[Noun]
width	Breite[Noun]
wife	(Ehe)frau
wife	Ehefrau (f)
wife	Ehegattin (f)
wife	Frau (f)
wife	Gattin (f)
wife	Weib (f)
wig	Perru.cke
wigwam	Wigwam
wild	heftig
wild	verrückt
wild	wild
wildcat	Wildkatze[Noun]
wilderness	Wildniss[Noun]
wildlife	Natur (f)
will	möchte
will	Testament (n)
will	werde
will	werden
will	Wille (f)
will	willen
willful	eigensinnig
willful	vorsätzlich
William	Wilhelm
willow	Weide[Noun]
willpower	Willenskraft (f)
wimp	Feigling, Waschlappen
wimpiness	Feigheit
win	gewinnen
win	siegen
wince	zusammenzucken
wind	Wind
wind	winden[Verb]
windbreak	Windschutz (m)
winding road	biegende Straße (f)
windless	windstill
windlessness	Windstille
windmill	Windmühle
windmill	Windmühle (f)
windmills	Windmühlen
window	Fenster
window	Fenster (n)
window glass	Fensterglas (n)
window seat	Fensterplatz (m)
windowed	mit Fenstern
windowless	fensterlos
windowpane	Fensterscheibe
windowpanes	Fensterscheiben
windows	Fenster (pl)
windshield	Windschutzscheibe (f)
windshield wiper fluid	Windschutzscheibewischerflüssigkeit (f)
windshield wipers	Windschutzscheibewischer (pl)
windy	windig
wine	Wein (m)
wine glass	Weinglas (n)
wine list	Weinkarte (f)
winery	Weinkellerei (f)
wing	Flügel (m)
wing	Gruppe (f)
wink	zwinkern[Verb]
winner	Gewinner (m)
winner	Sieger (m)
winter	Winter (m)
wire	Draht (m)
wire	verdrahten
wire money	Telegrammgeld (n)
wisdom	Weisheit[Noun]
wise	weise[Adjective]
wish	wünschen
wish	Wunsch (m)
wisp	Irrlicht[Noun]
witch	Hexe[Noun]
witchcraft	Hexerei[Noun]
witches	Hexen[Noun]
witching	hexen
witchlike	hexenhaft[Adjective]
with	bei
with	mit
with	nebst
with	per
wither	verblühen
wither	verdorren
wither	verkümmern
wither	verwelken
withholds	zurückhalten[Verb]
without	ohne
without	sonder
without	äußerlich
without	von außen
withstand	widerstehen[Verb]
witness	Zeuge[Noun]
witnesses	Zeugen[Noun]
witty	geistreich[Verb]
wive	Ehefrau[Noun]
wizard	Zauberer[Noun]
wizardry	Zauberei[Noun]
wizards	Zauberer[Noun]
wolf	Wolf[Noun]
wolfhound	Wolfshund[Noun]
wolflike	wölfisch[Adjective]
wolverine	Vielfrass[Noun]
wolves	Wo.lfe
woman	Frau (f)
woman	Weib (f)
women	Frauen (pl)
women's clothes	Frauenkleidungen (pl)
wonder	sich fragen
wonder	staunen
wonder	Verwunderung (f)
wonder	Wunder (n)
wonderful	fabelhaft
wonderful	herrlich
wonderful	wunderbar
wonderful	wundervoll
wondering	wundernd
wood	Holz (n)
wood	Wald (m)
woodcutter	Holzschnitzer (m)[Noun]
woodpecker	Specht (m)[Noun]
wool	Wolle (f)
word	Datenwort (n)
word	Wort (n)
word processor	Textbearbeitungssystem (n)
work	Arbeit
worker	Arbeiter (m)[Noun]
workhorse	Arbeitstier (n)[Noun]
workshop	Werkstatt (f)[Noun]
world	Welt (f)
world cup	Weltpokal (m)
worldly	weltlich
worldly	weltnah
worldwide	weltweit
worm	Wurm (m)[Noun]
wormhole	Wurmloch (n)[Noun]
worn	abgetragen (of clothes)[Verb]
worry	aufreiben
worry	Sorge (f)
worship	Verehrung (f)[Noun]
worth	Wert (m)
would	wirst
would	wollte
would	würde
would	würde hätten
would	würden
wound	verwunden
wound	Verwundung (f)
wound	Wunde (f)
wrap	einwickeln[Verb]
wreck	Wrack (n)[Noun]
wren	Zaunko.nig[Noun]
wrestle	ringen[Verb]
wrist	Handgelenk (n)
wristwatch	Armbanduhr (f)
write	aufschreiben
write	beschreiben
write	schreibe
write	schreiben
write	schreibt
write	verfassen
writer	Schreiber (m)
writer	Schriftsteller (m)
writing	druckend
writing	schreibend
writing	Schrift (f)
writing	schriftstück
writing pad	Screibblock (m)
written	geschreiben
written	schriftlich
